"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"114","summerised","500","-1","-3","2","1","1.92467018367093","2.22829029934677","2.28903952344317","0.915728107638462","5.92580642995034","6.08808526914374","0.956","0.96","0","0.984"
"115","all data","500","-1","-2","0","0","-0.0236617551622992","4.20732542385768","4.13338299888793","0.0433670678594634","6.0259419631351","5.95951230122463","0.944","0.942","0.032","0.98"
"116","summerised","500","-1","-2","0","0","-0.0230739935005965","4.21126385539792","4.1348090120323","0.0424863319044632","6.03140997057297","5.96156717672418","0.944","0.942","0.036","0.984"
"117","all data","500","-1","-2","1","2","0.808838280307958","4.10983959708886","4.15173772254103","2.15704810420563","5.91653778031401","5.98516863386502","0.942","0.954","0.026","0.978"
"118","summerised","500","-1","-2","1","2","0.808081531080291","4.10882033264886","4.15094828423021","2.15719580224163","5.91550353738878","5.98402799091606","0.942","0.954","0.028","0.984"
"119","all data","500","-1","-2","2","1","2.20537302347905","4.15019003711971","4.15658804605272","0.633134935246092","6.0995321309618","5.98977348036982","0.958","0.954","0.022","0.98"
"120","summerised","500","-1","-2","2","1","2.20769578281513","4.15329478319508","4.15750500251255","0.630891531701009","6.10290674872937","5.99109677552205","0.956","0.954","0.022","0.982"
"121","all data","500","-1","-1","0","0","0.0315218332475052","0.721532183052337","0.717417486885563","-0.346092097204088","3.87671606823949","3.77142468814395","0.948","0.948","0.018","0.982"
"122","summerised","500","-1","-1","0","0","0.0313067060135188","0.721013246403942","0.716953648976777","-0.345239808964802","3.87329199513969","3.76901057635036","0.948","0.948","0.022","0.984"
"123","all data","500","-1","-1","1","2","1.02161450385279","0.748495104517808","0.717684824191695","2.13759742668614","4.08414629682559","3.77265254720637","0.934","0.932","0.016","0.984"
"124","summerised","500","-1","-1","1","2","1.02150716482127","0.747958858875243","0.71761039452184","2.13783604613919","4.08135441406527","3.77228109447578","0.934","0.932","0.022","0.99"
"125","all data","500","-1","-1","2","1","1.99732558360877","0.762818612899649","0.719579564782806","0.889907286103707","3.86058517085283","3.78209765777919","0.94","0.946","0.016","0.97"
"126","summerised","500","-1","-1","2","1","1.9964984457855","0.762165687328922","0.71931989003029","0.890037025103327","3.85998121132002","3.78075245803956","0.942","0.946","0.018","0.974"
"127","all data","500","-1","-0.5","0","0","0.32198770126981","7.31274869884708","7.20773825502687","-0.369407707020179","8.44073204819095","8.31576118643915","0.952","0.954","0.012","0.974"
"128","summerised","500","-1","-0.5","0","0","0.321952155231884","7.31402377126866","7.20717784821444","-0.369525375527758","8.44187126989775","8.31511206365253","0.952","0.954","0.016","0.984"
"129","all data","500","-1","-0.5","1","2","1.10198516576364","7.39663005177759","7.26254348030974","1.83715049676898","8.52169598060831","8.37913518347388","0.952","0.942","0.006","0.978"
"130","summerised","500","-1","-0.5","1","2","1.10184118606092","7.39420082596671","7.26039934165361","1.83637041175986","8.51850148137536","8.37666580285208","0.952","0.944","0.008","0.986"
"131","all data","500","-1","-0.5","2","1","1.86615019830157","7.10084237529626","7.23460620507709","1.09271714188817","8.20788732184875","8.34828119595027","0.956","0.96","0","0.982"
"132","summerised","500","-1","-0.5","2","1","1.86592288342078","7.09785517844607","7.23421432356589","1.09285516120642","8.20468824470309","8.34783671814992","0.956","0.96","0","0.986"
