,type,simulations,p1,p2,Beta1,Beta2,est_Beta1_mean,est_Beta1_sd,est_Beta1_mean_SE,est_Beta2_mean,est_Beta2_sd,est_Beta2_mean_SE,cov_beta1,cov_beta2,fit_correct,fit_set
180,summerised,500,-0.5,-1,2,1,1.728591122,8.77189635,8.390329118,1.172011975,7.63645066,7.271214286,0.934,0.94,0.008,0.982
181,all data,500,-0.5,-0.5,0,0,0.026115709,3.823191793,3.571209082,0.043820866,4.203755844,3.953846551,0.922,0.916,0.024,0.982
182,summerised,500,-0.5,-0.5,0,0,0.025474055,3.822100686,3.571067723,0.043316295,4.201906124,3.953695392,0.922,0.916,0.028,0.988
183,all data,500,-0.5,-0.5,1,2,0.890404659,3.626776142,3.599153218,1.821708774,3.988999398,3.986552383,0.958,0.952,0.022,0.964
184,summerised,500,-0.5,-0.5,1,2,0.891359,3.626623563,3.599100217,1.822527003,3.988146266,3.986484962,0.958,0.956,0.022,0.97
185,all data,500,-0.5,-0.5,2,1,2.037445694,3.649379824,3.591917201,1.01590878,4.086791681,3.978535618,0.958,0.944,0.018,0.986
186,summerised,500,-0.5,-0.5,2,1,2.039427583,3.650360576,3.592381232,1.017898669,4.087247093,3.979042078,0.958,0.944,0.022,0.99
187,all data,500,-0.5,0,0,0,-0.413838364,7.512198846,7.554092275,-0.094180784,2.130879468,2.140982704,0.97,0.962,0.02,0.99
188,summerised,500,-0.5,0,0,0,-0.413297712,7.51327633,7.553026291,-0.094068592,2.131250446,2.140681893,0.97,0.962,0.024,0.992
189,all data,500,-0.5,0,1,2,1.026244539,7.891870125,7.676811103,1.998684304,2.216249579,2.175963699,0.934,0.934,0,0.966
190,summerised,500,-0.5,0,1,2,1.025431259,7.889615478,7.676688035,1.99853113,2.21551812,2.175928355,0.934,0.932,0,0.968
191,all data,500,-0.5,0,2,1,1.796317261,7.677598222,7.586576482,0.932935327,2.16636768,2.149885878,0.952,0.95,0.012,0.988
192,summerised,500,-0.5,0,2,1,1.796934962,7.678307436,7.584685783,0.933077427,2.166556756,2.149350557,0.952,0.95,0.016,0.992
193,all data,500,-0.5,0.5,0,0,-0.161751017,3.720357426,3.617266036,-0.066097303,1.159343517,1.137566388,0.942,0.95,0,0.988
194,summerised,500,-0.5,0.5,0,0,-0.160859384,3.721306204,3.61645433,-0.065787032,1.159798597,1.137310821,0.942,0.95,0,0.988
